Scene,Trigger,Person,EN,UK,RU
E,,Alice,"Dude, shut up. This is, like, my dream or whatever. I've always wanted to become a jazz singer, ever since I was a little girl. And besides, who are you to tell me that I'm not living up to my potential? Why do you even come here when you don't like jazz anyways? ","Чувак, стули пельку. Це, типу, моя мрія. Я завжди хотіла стати джазовою співачкою, ще з малечку. І взагалі, хто ти такий, щоб казати мені, що я не реалізовую свій потенціал? Чого ти взагалі сюди приперся, якщо все одно не любиш джаз?","Чувак, заткнись. Это, типа, моя мечта. Я всегда хотела стать джазовой певицей, с самого детства. И вообще, кто ты такой, чтобы говорить мне, что я не реализую свой потенциал? Зачем ты вообще сюда приперся, если всё равно не любишь джаз?"
E,,Hook,"Actually, I came here for you. ","Взагалі-то, я прийшов сюди заради тебе.","Вообще-то, я пришел сюда ради тебя."
E,,Alice,For me?,Заради мене?,Ради меня?
E,,Hook,I have an offer for you. A way to get out of this shit hole.,У мене є для тебе пропозиція. Спосіб вибратися з цієї дупи.,У меня есть к тебе предложение. Способ выбраться из этой дыры.
E,,Alice,Of course. I should've known.,Звісно. Я мала здогадатися.,Конечно. Я должна была догадаться.
E,,,Alice's mood shifts to pure annoyance. She stomps out her cigarette.,Настрій Аліси змінюється на цілковите роздратування. Вона агресивно гасить сигарету.,Настроение Алисы сменяется полным раздражением. Она злобно тушит сигарету.
E,,Alice,"Hook, you better be very careful about your next words. Whatever people have been saying about me, it's not true, OK? And I sure as hell don't sleep- ","Гаку, тобі краще дуже обережно добирати наступні слова. Що б там люди про мене не казали, це неправда, ясно? І я, чорт забирай, не сплю з...","Хук, тебе лучше очень осторожно выбирать следующие слова. Что бы там люди обо мне ни говорили, это неправда, ясно? И я, черт возьми, не сплю с..."
E,,Hook,Do you know what an OTP is?,"Ти знаєш, що таке OTP?","Ты знаешь, что такое OTP?"
E,,Alice,"Oh gosh, do I wanna know? ","О боже, а я хочу це знати?","О боже, а я хочу это знать?"
E,,Hook,"The ""One Time Pad"". It's an encryption system from the Cold War. A code that's impossible to crack. ","«Одноразовий блокнот» (One Time Pad). Це система шифрування часів Холодної війни. Код, який неможливо зламати.","«Одноразовый блокнот» (One Time Pad). Это система шифрования времен Холодной войны. Код, который невозможно взломать."
E,,Alice,Right. Never heard about it before.,Ясно. Ніколи раніше не чула.,Ясно. Никогда раньше не слышала.
E,,Hook,"Problem was, you could only use it once. Hence ""One Time Pad"". Now, fast forward to today. Last year, a computer freak from Warsaw came up with the ""Infinite Time Pad"", or ITP. An unbreakable, reusable code. Probably the most valuable piece of software ever created. I'm talking about a one with so many zeros that a calculator would show ERROR. Anyways, before the guy knew what he was doing, he had sold it for half a million dollars. ","Проблема була в тому, що використати його можна було лише раз. Тому й «Одноразовий». А тепер перенесемося в сьогодення. Минулого року один комп'ютерний геній із Варшави придумав «Нескінченний блокнот», або ITP. Незламний код багаторазового використання. Ймовірно, найцінніший софт в історії. Йдеться про суму з такою кількістю нулів, що калькулятор видав би ПОМИЛКУ. Менше з тим, перш ніж хлопець зрозумів, що робить, він продав його за півмільйона доларів.","Проблема была в том, что использовать его можно было только раз. Отсюда и «Одноразовый». А теперь перенесемся в наши дни. В прошлом году один компьютерный гений из Варшавы придумал «Бесконечный блокнот», или ITP. Невзламываемый многоразовый код. Вероятно, самый ценный софт в истории. Речь о сумме с таким количеством нулей, что калькулятор выдал бы ОШИБКУ. Короче, прежде чем парень понял, что натворил, он продал его за полмиллиона долларов."
E,,Alice,I don't follow. What are we talking about?,Я не вловлюю суть. Про що ми говоримо?,Я не улавливаю суть. О чем мы говорим?
E,,Hook,"You know the buyer. Leroy White, the guy everyone here looks up to. ","Ти знаєш покупця. Лерой Вайт, той самий, на якого тут усі моляться.","Ты знаешь покупателя. Лерой Уайт, тот самый, на которого тут все молятся."
E,,Alice,"Yeah, he's rumored to become the next mayor. He did a lot for this city. ","Так, кажуть, він стане наступним мером. Він багато зробив для міста.","Да, говорят, он станет следующим мэром. Он много сделал для города."
E,,Hook,"Well, he wasn't always so charitable. But that's a story for another day. ","Ну, він не завжди був таким благодійником. Але це історія для іншого разу.","Ну, он не всегда был таким благодетелем. Но это история для другого раза."
E,,Alice,Why are you telling me this?,Навіщо ти мені це розповідаєш?,Зачем ты мне это рассказываешь?
E,,Hook,Because... I'm going to steal the ITP. And you're gonna help me.,Тому що... я збираюся вкрасти ITP. І ти мені допоможеш.,Потому что... я собираюсь украсть ITP. И ты мне поможешь.
E,,,"She looks at you, incredulously, then slowly shakes her head, her mouth curling into a smile.","Вона недовірливо дивиться на тебе, потім повільно хитає головою, а куточки її вуст розтягуються в усмішці.","Она недоверчиво смотрит на тебя, затем медленно качает головой, а уголки ее губ растягиваются в улыбке."
E,,Hook,"I need someone on my crew with a clean slate, someone who can infiltrate White Mansion without raising suspicion. White is looking to sell the code, and he's looking for buyers. You're gonna pretend you're interested and ask him a couple of questions, have a look at the property, so we know what we're dealing with. ","Мені в команді потрібен хтось із чистою репутацією, хтось, хто зможе проникнути в маєток Вайта, не викликаючи підозр. Вайт хоче продати код і шукає покупців. Ти вдаси, що зацікавлена, поставиш пару запитань, оглянеш маєток, щоб ми знали, з чим маємо справу.","Мне в команде нужен кто-то с чистой репутацией, кто-то, кто сможет проникнуть в особняк Уайта, не вызывая подозрений. Уайт хочет продать код и ищет покупателей. Ты притворишься заинтересованной, задашь пару вопросов, осмотришь особняк, чтобы мы знали, с чем имеем дело."
E,,Alice,"This is a joke, right? I don't know why you thought I would- ","Це жарт, так? Не розумію, чому ти вирішив, що я...","Это шутка, да? Не понимаю, почему ты решил, что я..."
E,,Hook,"You wouldn't even be doing anything illegal. A few questions, clink champagne glasses with White and you're done, I promise. ","Тобі навіть не доведеться робити нічого незаконного. Кілька запитань, цокнутися келихами шампанського з Вайтом — і все, обіцяю.","Тебе даже не придется делать ничего незаконного. Пара вопросов, чокнуться бокалами шампанского с Уайтом — и всё, обещаю."
E,,Alice,"I'm sorry, I'm not who you think I am. I couldn't possibly- ","Вибач, але я не та, за кого ти мене маєш. Я просто не змогла б...","Извини, но я не та, за кого ты меня принимаешь. Я бы просто не смогла..."
E,,Hook,You're scared. I understand. But this isn't my first heist and you're not the first Lady in Red I work with.,"Тобі страшно. Я розумію. Але це не перше моє пограбування, і ти не перша «Леді в червоному», з якою я працюю.","Тебе страшно. Я понимаю. Но это не первое мое ограбление, и ты не первая «Леди в красном», с которой я работаю."
E,,Alice,"""Lady in Red""? ",«Леді в червоному»?,«Леди в красном»?
E,,Hook,It's what we call an eye catcher with a clean slate. Used for infiltration and distractions.,Так ми називаємо «приманку» з чистою біографією. Використовується для проникнення та відволікання уваги.,Так мы называем «приманку» с чистой биографией. Используется для проникновения и отвлечения внимания.
E,,Alice,"""Eye catcher?"" Well, I'm glad I wasn't just picked for my looks or anything. ","«Приманку»? Ну, я рада, що мене вибрали не лише за зовнішність.","«Приманку»? Ну, я рада, что меня выбрали не только за внешность."
E,,Hook,"Oh, you'll need your wits for this one as well if you want White to lose his. ","О, тобі знадобиться і розум, якщо хочеш, щоб Вайт втратив свій.","О, тебе понадобится и ум, если хочешь, чтобы Уайт потерял свой."
E,,Alice,Right. Why the hell would I do any of that?,Ясно. І якого дідька я маю це робити?,Ясно. И с какого перепугу я должна это делать?
E,,Hook,"My real name is Oz Carpenter. Look me up online and you'll see I've never been caught. And neither were any of my crew. I know you're not in it for the money, but with your cut, you'll be able to hire the best musicians money can buy, go on a world tour and record a boatload of albums. Or buy yourself a life supply of Twinkies-your call. ","Моє справжнє ім'я — Оз Карпентер. Погугли мене, і побачиш, що мене ніколи не ловили. Як і нікого з моєї команди. Я знаю, ти тут не заради грошей, але зі своєю часткою ти зможеш найняти найкращих музикантів, яких тільки можна купити, поїхати у світове турне і записати купу альбомів. Або купити собі довічний запас тістечок «Твінкі» — вирішувати тобі.","Мое настоящее имя — Оз Карпентер. Погугли меня, и увидишь, что меня никогда не ловили. Как и никого из моей команды. Я знаю, ты здесь не ради денег, но со своей долей ты сможешь нанять лучших музыкантов, каких только можно купить, поехать в мировое турне и записать кучу альбомов. Или купить себе пожизненный запас пирожных «Твинки» — решать тебе."
E,,Alice,I don't what is going on?,Я не... що взагалі відбувається?,Я не... что вообще происходит?
E,,Hook,"I think you're tired of playing in shoddy places like this. You didn't work so hard to end up here. I think you wanted to leave a mark and go down in history. So, should you choose to accept, call this number within the next 24 hours. ","Гадаю, ти втомилася грати в таких паршивих місцях, як це. Ти не для того так важко працювала, щоб опинитися тут. Думаю, ти хотіла залишити слід і увійти в історію. Тож, якщо вирішиш погодитися, подзвони за цим номером протягом 24 годин.","Думаю, ты устала играть в таких паршивых местах, как это. Ты не для того так много работала, чтобы оказаться здесь. Думаю, ты хотела оставить след и войти в историю. Так что, если решишь согласиться, позвони по этому номеру в течение 24 часов."
E,,,"The neon sign flickers alight and the jukebox inside blares out ""Boogie Woogie Extravaganza"".","Неонова вивіска спалахує, а музичний автомат всередині починає ревіти пісню ""Boogie Woogie Extravaganza"".","Неоновая вывеска вспыхивает, а музыкальный автомат внутри начинает реветь песню ""Boogie Woogie Extravaganza""."
E,,Alice,But... why...,Але... чому...,Но... почему...
E,,Hook,You should get back to your band. Call me.,Тобі час повертатися до гурту. Подзвони мені.,Тебе пора возвращаться к группе. Позвони мне.
E,,,Cross off B2. If C1: Go to scene K. Otherwise: Go to location 12 and read g1p0 there.,Викресліть B2. Якщо C1: Перейдіть до сцени K. В іншому випадку: Перейдіть до локації 12 та прочитайте там g1p0.,Вычеркните B2. Если C1: Перейдите к сцене K. В противном случае: Перейдите к локации 12 и прочитайте там g1p0.
F,,,"You make your way over to Fly's old apartment when you realize that you don't have a key. You're in the middle of turning over the door mat when the door opens. The woman in front of you is young, maybe in her late 20s. You are taken aback as you thought Fly lived alone and you didn't expect to find anyone here.","Ти підходиш до старої квартири Флая і розумієш, що не маєш ключа. Ти саме перевертаєш килимок біля дверей, коли двері відчиняються. Перед тобою молода жінка, років під 30. Ти розгублений, бо думав, що Флай живе сам, і не очікував нікого тут зустріти.","Ты подходишь к старой квартире Флая и понимаешь, что у тебя нет ключа. Ты как раз переворачиваешь коврик у двери, когда она открывается. Перед тобой молодая женщина, лет под 30. Ты ошарашен, так как думал, что Флай живет один, и не ожидал никого здесь встретить."
F,,Woman,Yes?,Слухаю?,Да?
F,,Hook,Erm ... Hi. Are you Mrs. King?,Емм... Привіт. Ви місіс Кінг?,Эм... Привет. Вы миссис Кинг?
F,,Woman,"Mrs. who? Oh, I see ... no, no, no. We just didn't replace the sign yet. I'm sorry, but Mr. King doesn't live here anymore. My husband and I bought this apartment at an auction a few months ago. ","Місіс хто? А, зрозуміла... ні, ні, ні. Ми просто ще не змінили табличку. Вибачте, але містер Кінг тут більше не живе. Ми з чоловіком купили цю квартиру на аукціоні кілька місяців тому.","Миссис кто? А, поняла... нет, нет, нет. Мы просто еще не сменили табличку. Извините, но мистер Кинг здесь больше не живет. Мы с мужем купили эту квартиру на аукционе несколько месяцев назад."
F,,Hook,"Er ... I see. Well, let me introduce myself. My name is ... Mike, er, Stinin, way... son from, er, Splish&Splash. We're a startup from Cantaloop specializing in plumbing and other repairs. And for the first two weeks we walk around and fix whatever's broken in people's bathrooms for free. ","Е-е... ясна річ. Що ж, дозвольте представитися. Мене звати... Майк, е-е, Стінін... сан... тобто син, е-е, зі «Splish&Splash». Ми стартап із Канталупа, спеціалізуємося на сантехніці та ремонті. І перші два тижні ми ходимо і безкоштовно лагодимо все, що зламалося у ванних кімнатах людей.","Э-э... понятно. Что ж, позвольте представиться. Меня зовут... Майк, э-э, Стинин... сан... то есть сын, э-э, из «Splish&Splash». Мы стартап из Канталупа, специализируемся на сантехнике и ремонте. И первые две недели мы ходим и бесплатно чиним всё, что сломалось в ванных комнатах людей."
F,,Woman,"Huh. That does not sound bad. And there is an issue you might be able to help with. But I'm guessing I have to become a member or something, right? ","Гм. Звучить непогано. У нас якраз є проблема, з якою ви могли б допомогти. Але, гадаю, мені треба оформити підписку чи щось таке?","Хм. Звучит неплохо. У нас как раз есть проблема, с которой вы могли бы помочь. Но, полагаю, мне нужно оформить подписку или что-то в этом роде?"
F,,Hook,"No, ma'am, it's completely free and is not tied to any subscription whatsoever. I can start right now if you like? ","Ні, мем, це абсолютно безкоштовно і не вимагає жодних підписок. Я можу почати просто зараз, якщо бажаєте.","Нет, мэм, это совершенно бесплатно и не требует никаких подписок. Я могу начать прямо сейчас, если хотите."
F,,Woman,"Oh, like, right now? But don't you need a toolbox? ","О, типу, прямо зараз? А хіба вам не потрібна скринька з інструментами?","О, типа, прямо сейчас? А разве вам не нужен ящик с инструментами?"
F,,Hook,"Er, right... Well, I don't need one. You see, I'm trained in the art of Wa Sa Bo, which means I'm basically a living toolbox myself. Like my hands can open bottles and stuff. ","Е-е, так... Ну, вона мені не потрібна. Бачте, я володію мистецтвом «Ва Са Бо», а це означає, що я сам по собі — живий набір інструментів. Типу, мої руки можуть відкривати пляшки і все таке.","Э-э, да... Ну, он мне не нужен. Видите ли, я владею искусством «Ва Са Бо», а это значит, что я сам по себе — живой набор инструментов. Типа, мои руки могут открывать бутылки и всё такое."
F,,Woman,"Oh wow, that sounds exciting. Come on in then. We have this strange problem where every time you turn on the lights in the hallway, the power goes out and we don't have any electricity in the house. Must be some kind of safety mechanism or something. My husband said it might be a short wire. Oh, but that's not really bathroom stuff, is it? That's more electronics. ","Ого, звучить захопливо. Тоді заходьте. У нас дивна проблема: щоразу, коли вмикаєш світло в коридорі, зникає струм, і весь будинок залишається без електрики. Мабуть, якийсь запобіжний механізм чи щось таке. Чоловік казав, що це може бути коротке замикання. Ой, але ж це не зовсім сантехніка, так? Це більше електрика.","Ого, звучит захватывающе. Тогда проходите. У нас странная проблема: каждый раз, когда включаешь свет в коридоре, пропадает ток, и весь дом остается без электричества. Наверное, какой-то предохранительный механизм или типа того. Муж говорил, что это может быть короткое замыкание. Ой, но это же не совсем сантехника, да? Это больше электрика."
F,,Hook,"Oh, don't worry, Miss, I can help. But what you're describing sounds more like you... flopped a red one with a stinger in the wire flaunch. ","О, не хвилюйтеся, міс, я можу допомогти. Але те, що ви описуєте, більше схоже на те, що у вас... завалився червоний з жалом у дротовому фланці.","О, не волнуйтесь, мисс, я могу помочь. Но то, что вы описываете, больше похоже на то, что у вас... завалился красный с жалом в проволочном фланце."
F,,Woman,"I'm sorry, I have no idea what you're talking about, but that sure sounds like you know your stuff. Please, come in! ","Вибачте, я уявлення не маю, про що ви говорите, але звучить так, ніби ви знаєте свою справу. Будь ласка, заходьте!","Извините, я понятия не имею, о чем вы говорите, но звучит так, будто вы знаете свое дело. Пожалуйста, проходите!"
F,,,You enter the hallway.,Ви заходите в коридор.,Вы заходите в коридор.
F,,Woman,"Alright, look here, if I turn on this light, first nothing happens, but then- ","Гаразд, дивіться, якщо я ввімкну це світло, спочатку нічого не відбувається, але потім...","Хорошо, смотрите, если я включу этот свет, сначала ничего не происходит, но потом..."
F,,,The lights go out and the humming of a nearby fridge stops.,"Світло гасне, і гудіння холодильника неподалік затихає.","Свет гаснет, и гудение холодильника неподалеку затихает."
F,,Woman,"Give me a second, I'll turn the power back on. ","Дайте мені секунду, я увімкну живлення.","Дайте мне секунду, я включу питание."
F,,,"You hear her moving away from you. Moments later, the lights come back on, and she waves you into the bathroom.","Ти чуєш, як вона відходить. За мить світло знову вмикається, і вона запрошує тебе до ванної кімнати.","Ты слышишь, как она отходит. Через мгновение свет снова включается, и она приглашает тебя в ванную."
F,,Woman,"So that's it. Do you think you would be able to fix this? It can be quite a nuisance having a blackout every time we want to turn on the lights in the hallway, ha ha. ","Ну, ось так. Як думаєте, зможете це виправити? Досить неприємно сидіти в темряві щоразу, коли хочеться увімкнути світло в коридорі, ха-ха.","Ну, вот так. Как думаете, сможете это исправить? Довольно неприятно сидеть в темноте каждый раз, когда хочется включить свет в коридоре, ха-ха."
F,,Hook,"Absolutely, not a problem, I'll have this done in no time. ","Безумовно, без проблем, я впораюся з цим миттєво.","Безусловно, без проблем, я справлюсь с этим мигом."
F,,Woman,Great. I'll make you some tea.,Чудово. Я зроблю вам чай.,Отлично. Я сделаю вам чай.
F,,Hook,"Oh, thank you. I'll just unpack my... er tool, I guess. ","О, дякую. Я поки розпакую свій... е-е, інструмент, мабуть.","О, спасибо. Я пока распакую свой... э-э, инструмент, пожалуй."
F,,,When she's gone you mouth a curse and roll your eyes at yourself in the mirror.,"Коли вона йде, ти безгучно лаєшся і закочуєш очі, дивлячись на себе в дзеркало.","Когда она уходит, ты беззвучно ругаешься и закатываешь глаза, глядя на себя в зеркало."
F,,Hook,"""I'll just unpack my tool.""-Great Hook, just great. Now what? ","«Я поки розпакую свій інструмент». — Молодець, Гаку, просто молодець. І що тепер?","«Я пока распакую свой инструмент». — Молодец, Хук, просто молодец. И что теперь?"
F,,,Go to location 18.,Перейдіть до локації 18.,Перейдите к локации 18.
F,C3,Woman,"Oh, were you leaving already? Did you fix it? ","О, ви вже йдете? Ви полагодили?","О, вы уже уходите? Вы всё починили?"
F,C3,Hook,Er... not yet. I just have to get back to the shop and get some more tools. This job is a little more difficult than I first thought.,"Е-е... ще ні. Мені просто треба повернутися в майстерню і взяти ще інструментів. Ця робота трохи складніша, ніж я спочатку думав.","Э-э... еще нет. Мне просто нужно вернуться в мастерскую и взять еще инструментов. Эта работа оказалась немного сложнее, чем я думал вначале."
F,C3,Woman,Tools? But I thought you used only your hands.,"Інструменти? Але я думала, ви використовуєте тільки руки.","Инструменты? Но я думала, вы используете только руки."
F,C3,Hook,"Yes, of course. But even that has its limits. ","Так, звісно. Але навіть у цього є свої межі.","Да, конечно. Но даже у этого есть свои пределы."
F,C3,Woman,That's not what you said earlier. Are you actually trained in Wa Sa Bo? I think I need to call your supervisor and tell him. Let me just google Splish&Splash real quick.,"Це не те, що ви казали раніше. Ви справді володієте «Ва Са Бо»? Думаю, мені треба подзвонити вашому керівнику. Дайте-но я швиденько загуглю «Splish&Splash».","Это не то, что вы говорили раньше. Вы действительно владеете «Ва Са Бо»? Думаю, мне нужно позвонить вашему начальнику. Дайте-ка я быстренько загуглю «Splish&Splash»."
F,C3,Hook,"Oh, no need. I just remembered the ol' Wan Tan Pauk. I got it now, thanks. ","О, не треба. Я щойно згадав старий добрий «Ван Тан Паук». Тепер я впораюсь, дякую.","О, не стоит. Я только что вспомнил старый добрый «Ван Тан Паук». Теперь я справлюсь, спасибо."
F,C3,Woman,Wonderful! Here's your tea by the way.,"Чудово! До речі, ось ваш чай.","Замечательно! Кстати, вот ваш чай."
F,C3,Hook,Thanks.,Дякую.,Спасибо.
F,C4,,You wait for the lady to leave.,"Ти чекаєш, поки пані піде.","Ты ждешь, пока дама уйдет."
F,C3,Hook,"Rats, guess I'm stuck in here. Will have to figure out a way to repair that fuse box. ","Дідько, схоже, я тут застряг. Доведеться придумати, як полагодити цей щиток.","Черт, похоже, я тут застрял. Придется придумать, как починить этот щиток."
F,C4,,Return to location 18.,Поверніться до локації 18.,Вернитесь к локации 18.
F,K6,Hook,Miss? It should work now.,Міс? Тепер має працювати.,Мисс? Теперь должно работать.
F,K6,Woman,The ol' Wan Tan Pauk do the trick?,Старий добрий «Ван Тан Паук» спрацював?,Старый добрый «Ван Тан Паук» сработал?
F,K6,Hook,"The what? Oh, yeah, right. Yeah, it's all good now. ","Що? А, так, точно. Так, тепер усе гаразд.","Что? А, да, точно. Да, теперь всё в порядке."
F,K6,Woman,Perfect. Let me just try it out. Wait here.,Чудово. Дайте я перевірю. Зачекайте тут.,Отлично. Дайте я проверю. Подождите здесь.
F,K6,,She leaves the room and you hear the click from the hallway as the lights go on. Smoke rises from the fuse box behind you. The woman returns.,"Вона виходить з кімнати, і ти чуєш клацання в коридорі — вмикається світло. З блоку запобіжників позаду тебе піднімається димок. Жінка повертається.","Она выходит из комнаты, и ты слышишь щелчок в коридоре — включается свет. Из блока предохранителей позади тебя поднимается дымок. Женщина возвращается."
F,K6,Woman,"You did it! Thank you so much, that was awesome. ","Ви це зробили! Щиро дякую, це було неймовірно.","Вы это сделали! Огромное спасибо, это было невероятно."
F,K6,,The smellof burnt plastic stings your nostrils. You usher the woman out into the hallway.,Запах паленого пластику б'є в ніс. Ти підштовхуєш жінку в коридор.,Запах жженого пластика бьет в нос. Ты подталкиваешь женщину в коридор.
F,K6,Hook,"No problem. If there's ever anything you need, don't hesitate to call us at Splish&Splash. ","Без проблем. Якщо вам щось знадобиться, не соромтеся телефонувати нам у «Splish&Splash».","Без проблем. Если вам что-то понадобится, не стесняйтесь звонить нам в «Splish&Splash»."
F,K6,Woman,"I will, thank you. And good luck! ","Обов'язково, дякую. І удачі!","Обязательно, спасибо. И удачи!"
F,K6,,You may now leave this location.,Тепер ви можете покинути цю локацію.,Теперь вы можете покинуть эту локацию.
G,,,You take the elevator upstairs and weasel your way around the guards to the door of the cell block. You peek through the little window and see one cell illuminated in blue light. Fly's ghostly silhouette is typing frantically.,"Ти піднімаєшся ліфтом і прослизаєш повз охоронців до дверей тюремного блоку. Зазираєш у маленьке віконце й бачиш одну камеру, осяяну блакитним світлом. Примарний силует Флая гарячково щось друкує.","Ты поднимаешься на лифте и проскальзываешь мимо охранников к дверям тюремного блока. Заглядываешь в маленькое окошко и видишь одну камеру, освещенную голубым светом. Призрачный силуэт Флая лихорадочно печатает."
G,,Hook,"Come on, come on. Hurry up. ","Давай, давай. Швидше.","Давай, давай. Поторапливайся."
G,,,"You hear a soft ""clank"" behind you. Someone's coming. You press your body flat against the wall. In terror, you watch a guard strolling by, whistling tune. He doesn't see you.When he's gone, you take another look through the window. The light has disappeared. You lean in closer, trying to make out Fly in the darkness.","Позаду чується тихий брязкіт. Хтось іде. Ти втискаєшся в стіну. З жахом спостерігаєш, як повз проходить охоронець, насвистуючи мелодію. Він тебе не помічає. Коли він зникає, ти знову дивишся у вікно. Світло зникло. Ти нахиляєшся ближче, намагаючись розгледіти Флая в темряві.","Сзади слышится тихий лязг. Кто-то идет. Ты вжимаешься в стену. С ужасом наблюдаешь, как мимо проходит охранник, насвистывая мелодию. Он тебя не замечает. Когда он скрывается, ты снова смотришь в окно. Свет погас. Ты наклоняешься ближе, пытаясь разглядеть Флая в темноте."
G,,Fly,Boo.,Бу!,Бу!
G,,,"Fly's face appears on the other side of the glass, making your heart stop for a second. It takes all your will power not to scream in surprise. Fly smiles and gestures toward the key card reader next to the door. You swipe the card across it. The door swings open.","Обличчя Флая виринає по той бік скла, змушуючи твоє серце зупинитися на мить. Тобі доводиться зібрати всю волю в кулак, щоб не скрикнути від несподіванки. Флай усміхається і вказує на зчитувач карток біля дверей. Ти проводиш карткою. Двері відчиняються.","Лицо Флая возникает по ту сторону стекла, заставляя твое сердце на секунду остановиться. Тебе приходится собрать всю волю в кулак, чтобы не вскрикнуть от неожиданности. Флай улыбается и указывает на считыватель карт у двери. Ты проводишь карточкой. Дверь распахивается."
G,,Hook,Took you long enough.,Довго ж ти возився.,Долго же ты копался.
G,,,Fly raises an eyebrow and hands you your phone back.,Флай піднімає брову і повертає тобі телефон.,Флай приподнимает бровь и возвращает тебе телефон.
G,,Fly,"You should really update your OS, Sergeant Crunch. ","Тобі справді варто оновити операційну систему, Сержанте Кранч.","Тебе и правда стоит обновить операционку, Сержант Кранч."
G,,Hook,Couldn't exactly buy this outfit at Sears. Does my ass look fat in this?,Таке вбрання у супермаркеті не купиш. Мене ця форма не повнить?,Такой наряд в универмаге не купишь. Меня эта форма не полнит?
G,,,"Unnoticed by either of you, the door to the cells slowly closes ... and trips an alarm. Within a heartbeat, all hell breaks loose.",Непомітно для вас обох двері до камер повільно зачиняються... і вмикають сигналізацію. За мить навколо починається справжнє пекло.,Незаметно для вас обоих дверь к камерам медленно закрывается... и включает сигнализацию. В одно мгновение вокруг начинается сущий ад.
G,,Hook,Oh no!,О ні!,О нет!
G,,Fly,They must have added a safety mechanism to the door. We gotta get out of here now!,"Мабуть, вони додали до дверей захисний механізм. Нам треба забиратися звідси, негайно!","Наверное, они добавили к двери защитный механизм. Нам надо выбираться отсюда, немедленно!"
G,,Hook,And I have the perfect plan how to get you out!,"І в мене є ідеальний план, як тебе витягнути!","И у меня есть идеальный план, как тебя вытащить!"
G,,,"You lead Fly around a series of corners, ducking behind a table as a guard runs by. Eventually, the two of you end up in front of a large potted plant.","Ти ведеш Флая лабіринтом кутів, пригинаючись за столом, коли повз пробігає охоронець. Зрештою, ви опиняєтеся перед величезною рослиною в горщику.","Ты ведешь Флая лабиринтом углов, пригибаясь за столом, когда мимо пробегает охранник. В конце концов, вы оказываетесь перед огромным растением в горшке."
G,,Fly,What's that?,Що це?,Что это?
G,,Hook,"That is our ticket out of here. Quick, hide behind it. ","Це наш квиток на волю. Швидше, ховайся за ним.","Это наш билет на волю. Быстрее, прячься за ним."
G,,Fly,"OK, but Hook, I'm not as smart as you. I don't understand. ","Гаразд, але, Гаку, я не такий розумний, як ти. Я не розумію.","Ладно, но, Хук, я не такой умный, как ты. Я не понимаю."
G,,Hook,"I know, just listen carefully. You stay hidden behind this plant. When the guards aren't looking, you move. When they turn around, you stop and all they'll see is a plant. ","Я знаю, просто слухай уважно. Ти ховаєшся за цією рослиною. Коли охоронці не дивляться — ти рухаєшся. Коли вони повертаються — ти зупиняєшся, і все, що вони бачать, це вазон.","Я знаю, просто слушай внимательно. Ты прячешься за этим растением. Когда охранники не смотрят — ты двигаешься. Когда они оборачиваются — ты останавливаешься, и всё, что они видят, это цветок."
G,,Fly,"Gee, Hook, you're a genius! ","Ого, Гаку, ти геній!","Ого, Хук, ты гений!"
G,,Hook,"Thank you, my rotund friend. Let's go. ","Дякую, мій огрядний друже. Ходімо.","Спасибо, мой упитанный друг. Пошли."
G,,Mike,Bullshit.,Маячня.,Чушь собачья.
G,,Hook,"I'm telling you, Mike ... this is exactly what happened. ","Кажу тобі, Майку... саме так усе й було.","Говорю тебе, Майк... именно так всё и было."
G,,Mike,You didn't get him out in a bush.,Ти не міг витягнути його за допомогою куща.,Ты не мог вытащить его с помощью куста.
G,,Hook,"Yes, I did. ","Так, я це зробив.","Да, я это сделал."
G,,Mike,No one's gonna believe that. You gotta find a more believable story.,Ніхто в це не повірить. Тобі треба придумати правдоподібнішу історію.,Никто в это не поверит. Тебе нужно придумать историю поправдоподобнее.
G,,,"On the other end of the line, you hear someone calling: ""Is that him on the phone? Did you hear he got someone out of prison by hiding him in a bush? He's a genius!""","На іншому кінці дроту ти чуєш чийсь вигук: «Це він на зв'язку? Ви чули, він витягнув когось із в'язниці, сховавши його в кущах? Він геній!»","На другом конце провода ты слышишь чей-то крик: «Это он на связи? Вы слышали, он вытащил кого-то из тюрьмы, спрятав его в кустах? Он гений!»"
G,,Hook,You were saying?,То що ти там казав?,Ну и что ты там говорил?
G,,Mike,"You're unbelievable, you know that? ","Ти просто неймовірний, знаєш?","Ты просто невероятен, знаешь?"
G,,Hook,"Love you too, buddy. ","Я теж тебе люблю, друже.","Я тоже тебя люблю, дружище."
G,,,Cross off C1. If B2: Go to Scene K. Otherwise: Go to location 01 and read x5m8 there.,Викресліть C1. Якщо B2 виконано: Перейдіть до Сцени K. В іншому випадку: Перейдіть до локації 01 та прочитайте там x5m8.,Вычеркните C1. Если B2 выполнено: Перейдите к Сцене K. В противном случае: Перейдите к локации 01 и прочитайте там x5m8.
H,,,"It takes you a while to figure out how to call your mailbox, but after some trial and error, you manage.","Тобі потрібен певний час, щоб розібратися, як подзвонити на голосову пошту, але після кількох спроб тобі це вдається.","Тебе требуется некоторое время, чтобы разобраться, как позвонить на голосовую почту, но после пары попыток тебе это удается."
H,,Hook,"Huh, it's a message from Fly. ","Гм, це повідомлення від Флая.","Хм, это сообщение от Флая."
