Location,Code,Object,Text
0,m8r9,Вешалка + Кирпич,"[Если A9: Читать m8t1. Иначе:] Думаю, я мог бы разбить вешалку..."
0,m8t1,Вешалка + Кирпич,Я мог бы тренировать свои навыки метания молота с этой штуковиной.
0,m8t2,Вешалка + Презервативы,"Почти уверен, что презерватив используют не так."
0,m8t6,Вешалка + Воздушный шар,"Летающая вешалка, а? Можно продать в IKEA..."
0,p7d3,Труба + Отвертка,"О да, давай выцарапаем что-нибудь на ней. ""Я... люблю... тратить время""."
0,p9t1,Труба + Метла,"Теперь у меня труба чище, чем была раньше."
0,r0i0,Осмотреть коробку хлопьев,"На коробке написано ""игрушка внутри"". Интересно, она еще там."
0,r0v2,Коробка хлопьев + Коктейль,"О, завтрак джентльмена, а?"
0,r6b3,Летающий телефон + Фальшивая форма,Форма слишком тяжелая.
0,r6e1,Летающий телефон + Труба,Это как пиньята... ты получаешь разбитый мобильник.
0,r6t7,Летающий телефон + Спички,"[Если D2: Читать r8h6. Иначе:] Я мог бы сжечь это все, но лучше не буду."
0,r8h6,Летающий телефон + Спички,Ты ничему не научился?!
0,r9p5,Осмотреть коктейль,"Напиток, похоже, окрашен в синий цвет каким-то экзотическим цветком. Хмм..."
0,t0y1,Коробка хлопьев,"Погоди... хлопья, личинки... вот она! [Удалите карту №23. Вычеркните G5. Возьмите карту №25.]"
0,t4i0,Осмотреть снежный шар,"Любят ли заключенные единорогов? Кажется, я что-то такое слышал."
0,t4t5,Снежный шар + Метла,"Думаю, метла выполнила свое предназначение."
0,t7b3,Ржавый ключ + Фальшивая форма,"Не думаю, что этот ключ пригодится мне в тюрьме."
0,t7p5,Осмотреть ржавый ключ,"Это ключ от туалета ""Голубой Мамбы""."
0,t9d9,Спички,"Сухие, как кость."
0,t9j8,Ржавый ключ + Магнит,"Именно так, дружище... ключи магнитятся. С этим разобрались."
0,v1c1,Передатчик + Коробка хлопьев,"Прятать передатчик в коробке не поможет. К тому же, личинки могут его испортить."
0,v1c7,Передатчик + Чертежи,"На этих чертежах не указано, где в тюрьме компьютеры."
0,v1h8,Передатчик + Магнит,"Честно, понятия не имею, что ты задумал, МакГайвер."
0,v1j9,Передатчик + Отвертка,"Я лучше оставлю эту штуку как есть, чтобы не сломать."
0,v1t2,Передатчик + Презервативы,"Я не хочу пихать его туда, он только измажется в смазке."
0,v1t6,Передатчик + Воздушный шар,Он слишком тяжелый.
0,v4p4,Воздушный шар + Чайные пакетики,Кто же не любит легкий чай?
0,v7g2,Презервативы + Мобильный телефон,"Я не хочу пихать его туда, он только измажется в смазке."
0,v7g8,Презервативы + Фальшивая форма,"Слишком большая, чтобы туда влезть."
0,v7i0,Использовать презервативы,"Прямо здесь?! Возьми себя в руки, мужик!"
0,v7j0,Презервативы + Спички,"Если бы это были ""Кодовые имена"", я бы сказал ""горячий, 2""."
0,9g2,Чертежи + Мобильный телефон,"Было бы гораздо эффективнее сделать фото... но я старомоден, окей?"
0,v9g8,Чертежи + Фальшивая форма,"Думаю, я их уже запомнил."
0,v9h3,Чертежи + Ржавый ключ,"Эти планы точны, но не НАСТОЛЬКО точны."
0,v9i0,Осмотреть чертежи,"Согласно им, тут есть вентиляционная шахта... [Вычеркните H5.]"
0,v9j0,Чертежи + Спички,[Если F1: Читать v9p3. Иначе:] Спички слишком мокрые...
0,v9p3,Чертежи + Спички,[Чертежи сгорают в пламени. Удалите карту №09. Вычеркните H5.]
0,x0g4,Фальшивая форма,"Она внутри! Наконец-то. Теперь нужно найти хорошее место, чтобы переодеться."
0,x5x2,Передатчик,"Теперь, когда он в тюрьме, что я там собирался с ним делать?"
0,z5m0,Летающий телефон,Наконец-то он внутри! Что теперь?
0,z6e8,Кирпич,Я привязал к нему зубную нить.
0,z8d3,Летающий телефон + Отвертка,"Думаю, я мог бы лопнуть шарик, но какая мне от этого польза?"
0,z8j8,Летающий телефон + Магнит,"Если я прикреплю магнит к телефону, он больше не будет летать."
0,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
0,b0b3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
0,b1g8,Магнит + Фальшивая форма,"Нет, слишком большой."
0,b1i0,Использовать Магнит,Я не могу его включить. Он никогда не выключается.
0,c1g8,Бутылка + Фальшивая форма,"[Если D9: Читать c1m4. Иначе:] Не, мне не нужна эта бутылка в форме."
0,c1m4,Бутылка + Фальшивая форма,"Да, ладно, немного почистим ее... Вот, красивая и свежая."
0,c1v2,Бутылка + Коктейль,[Если D9: Читать c2e1. Иначе:] Я бы лучше наполнил бутылку чем-то... чистым.
0,c2e1,Бутылка + Коктейль,"Этот коктейль отвратителен, сколько его ни разбавляй."
0,d3k9,Одежда,Рубашка теперь выцветше-охристая... Никто на это не клюнет.
0,d5i3,Одежда,Штаны теперь темно-зеленые. Уже лучше!
0,d5v5,Одежда,"Я прикрепил значок к рубашке. Думаю, прокатит."
0,d6c1,Бутылка + Коробка хлопьев,"Мы что, завтрак готовим?"
0,d6p4,Бутылка + Чайные пакетики,"Срок годности чая давно истёк, так что нет, спасибо."
0,d6t2,Бутылка + Презервативы,"[Если D9: Читать d6v0. Иначе:] Чувак, я прекрасно знаю, как надевать презерватив."
0,d6v0,Бутылка + Презервативы,"Думаю, я мог бы сделать водяную бомбочку..."
0,d6x4,Бутылка + Свинцовая труба,"Слишком большая, чтобы использовать ее как соломинку..."
0,d8e8,Кирпич + Летающий телефон,"Конечно, после всех этих усилий, давай снова сделаем его тяжелым."
0,d8g2,Кирпич + Мобильный телефон,[Если A9: Читать d8g4. Иначе:] Вот так когда-то выглядели телефоны...
0,d8g4,Кирпич + Мобильный телефон,"Я почти уверен, что это рано или поздно сломает мой телефон."
0,d8g8,Кирпич + Фальшивая форма,"Это действительно отличная идея... погоди, нет, теперь форма вся грязная."
0,d8h3,Кирпич + Ржавый ключ,[Если A9: Читать d8h9. Иначе:] Этот ключ и так в довольно плохом состоянии.
0,d8h9,Кирпич + Ржавый ключ,Худший. Брелок. В мире!
0,d8i0,Использовать Кирпич,"Думаю, я просто подержу это, пока не буду знать, что с ним делать."
0,e1p5,Использовать Одежду,"В карманах пусто. И я не вижу причин, почему я должен это надевать."
0,e1r3,Одежда + Коктейль,Это только покрасило бы их в синий цвет.
0,e5b3,Метла + Фальшивая форма,"Думаю, я мог бы сделать пугало..."
0,e5t7,Метла + Спички,"Ну, я мог бы использовать это как факел..."
0,e6b2,Открытка,[Вы можете использовать открытку для путешествия в любую локацию...]
0,g6p5,Осмотреть ключ,"На бирке написано ""Кладовая""."
0,h3j8,Магнитная карта + Магнит,"Чувак, отличная идея, давай сделаем эту карту абсолютно бесполезной... [Возьмите карту №58.]"
0,h4h9,Мобильный телефон + Воздушный шар,"[Если A8: Читать h4i0. Иначе:] Что бы я ни делал, телефон все время отваливается."
0,h4i0,Мобильный телефон + Воздушный шар,[Удалите карты №12 и №13. Вычеркните F8. Возьмите карту №08.]
0,h4j8,Мобильный телефон + Магнит,Это может стереть мою память... Я бы очень не хотел забыть свою главную цель.
0,h4x9,Мобильный телефон + Чайные пакетики,"У Майка, наверное, есть дела поважнее, чем смеяться над моими шутками."
0,h5e8,Вешалка + Летающий телефон,"Нет, слишком тяжелый."
0,h5g8,Вешалка + Фальшивая форма,"Не думал, что это возможно, но это действительно работает! [Вычеркните E6. Удалите карту №01.]"
0,h5m7,Вешалка + Одежда,"М-м, да, вроде есть смысл, но... зачем?"
